sequence,system,ap_50,ap_50_95,avg_precision,avg_recall,total_gt,total_preds,total_tp,total_fp,total_fn,infer_count,skip_count,skip_rate_pct,erd_empty_count,predict_count,erd_empty_rate_pct,predict_rate_pct,erd_infer_count,erd_infer_rate_pct,augmented_infer_count,augmented_infer_rate_pct,pure_infer_count,pure_infer_rate_pct,wall_duration_s,avg_frame_time_ms,avg_power_w,max_power_w,energy_j,avg_power_gpu_w,energy_gpu_j,avg_power_cpu_w,energy_cpu_j,avg_power_io_w,energy_io_j,avg_gpu_temp_c,max_gpu_temp_c,avg_cpu_temp_c,max_cpu_temp_c,max_tj_temp_c,avg_gpu_util_pct,avg_cpu_util_pct,avg_emc_util_pct,avg_ram_used_mb,max_ram_used_mb,n_tegrastats_samples
b2036451-aa924fd1,CTD-0.90,0.7570370888212377,0.5329311766739304,0.9406992723114219,0.47296525132692063,1941,2035,1514,521,427,151,51,25.25,0,51,0.0,25.25,0,0.0,0,0.0,151,74.75,18.73,86.736,43.106,46.078,801.3,29.816,554.42,3.078,57.14,10.212,189.75,63.6,65.1,63.5,64.3,65.1,73.3,19.3,48.2,4049.0,4051,154
b204a5c1-05981158,CTD-0.30,0.6435186926951079,0.45380610389481413,0.9401405658682817,0.3732772119348953,922,755,625,130,297,42,60,58.82,0,60,0.0,58.82,0,0.0,0,0.0,42,41.18,6.11,49.85,36.29,44.185,221.7,24.231,148.43,2.779,16.8,9.279,56.48,62.1,64.1,62.8,63.7,64.1,67.1,17.8,36.3,4049.0,4050,51
b204a5c1-05981158,CTD-0.50,0.6518136614745289,0.45903515115298416,0.943039774997683,0.3775956969508667,922,761,631,130,291,45,57,55.88,0,57,0.0,55.88,0,0.0,0,0.0,45,44.12,6.11,52.86,38.405,44.684,233.72,25.817,157.28,3.005,18.19,9.583,58.24,62.2,63.8,62.6,63.3,63.8,78.0,18.5,38.3,4050.0,4052,51
b204a5c1-05981158,CTD-0.70,0.6518136614745289,0.45903515115298416,0.943039774997683,0.3775956969508667,922,761,631,130,291,45,57,55.88,0,57,0.0,55.88,0,0.0,0,0.0,45,44.12,6.03,52.426,39.356,45.581,230.81,26.561,155.9,3.085,18.03,9.71,56.88,62.5,63.8,62.4,63.8,63.8,90.2,18.4,38.6,4052.0,4053,48
b204a5c1-05981158,CTD-0.90,0.6724400418580122,0.4894923397656112,0.9504993926420636,0.39094499137883093,922,780,645,135,277,52,50,49.02,0,50,0.0,49.02,0,0.0,0,0.0,52,50.98,6.81,60.024,39.694,44.584,266.7,26.919,181.0,3.08,20.63,9.695,65.07,62.1,63.2,62.4,63.3,63.3,64.2,18.9,40.2,4048.0,4050,57
b204a5c1-064b0040,CTD-0.30,0.5003575157406832,0.31968955963067847,0.8659200685370572,0.3477001830000963,2247,1973,1203,770,1044,127,75,37.13,0,75,0.0,37.13,0,0.0,0,0.0,127,62.87,16.2,72.773,41.762,45.081,674.55,28.633,462.64,3.12,50.32,10.01,161.6,62.4,63.8,62.8,63.6,63.8,57.8,18.4,47.1,4049.0,4051,135
b204a5c1-064b0040,CTD-0.50,0.5909684161524302,0.37905329929557574,0.9051482759968225,0.38215451237041964,2247,2018,1408,610,839,143,59,29.21,0,59,0.0,29.21,0,0.0,0,0.0,143,70.79,17.69,81.329,42.811,45.68,756.15,29.503,521.22,3.145,55.45,10.163,179.48,62.7,64.0,62.9,63.8,64.0,65.3,18.7,48.3,4050.0,4052,148
b204a5c1-064b0040,CTD-0.70,0.6351576065582992,0.40959605750326133,0.9244350109968611,0.3960867454366032,2247,2024,1499,525,748,159,43,21.29,0,43,0.0,21.29,0,0.0,0,0.0,159,78.71,19.47,90.101,43.454,45.978,842.19,30.005,581.75,3.165,61.25,10.284,199.19,63.1,64.5,63.1,64.6,64.6,84.3,18.9,49.1,4050.0,4054,164
b204a5c1-064b0040,CTD-0.90,0.6561339528416512,0.4258550175340998,0.9373531631091991,0.406413620870655,2247,2034,1529,505,718,173,29,14.36,0,29,0.0,14.36,0,0.0,0,0.0,173,85.64,21.4,98.608,43.041,45.58,918.42,29.731,634.8,3.121,66.44,10.189,217.18,63.1,64.6,63.1,64.3,64.6,75.6,19.5,48.5,4056.0,4061,176
b204a5c1-fa3d5b88,CTD-0.30,0.6092562653328153,0.41730150850139136,0.9266861318385237,0.39166302952075,2527,2254,1591,663,936,153,49,24.26,0,49,0.0,24.26,0,0.0,0,0.0,153,75.74,20.05,88.648,40.807,44.57,814.67,28.007,559.34,2.931,58.41,9.869,196.92,62.7,64.3,63.0,63.8,64.3,68.3,19.2,45.6,4059.0,4062,165
