sequence,system,ap_50,ap_50_95,avg_precision,avg_recall,total_gt,total_preds,total_tp,total_fp,total_fn,infer_count,skip_count,skip_rate_pct,erd_empty_count,predict_count,erd_empty_rate_pct,predict_rate_pct,erd_infer_count,erd_infer_rate_pct,augmented_infer_count,augmented_infer_rate_pct,pure_infer_count,pure_infer_rate_pct,wall_duration_s,avg_frame_time_ms,avg_power_w,max_power_w,energy_j,avg_power_gpu_w,energy_gpu_j,avg_power_cpu_w,energy_cpu_j,avg_power_io_w,energy_io_j,avg_gpu_temp_c,max_gpu_temp_c,avg_cpu_temp_c,max_cpu_temp_c,max_tj_temp_c,avg_gpu_util_pct,avg_cpu_util_pct,avg_emc_util_pct,avg_ram_used_mb,max_ram_used_mb,n_tegrastats_samples
b1c66a42-6f7d68ca,Adaptive,0.695285024260176,0.4843156548276606,0.959175606418135,0.40648650232133404,2612,2274,1868,406,744,161,41,20.3,0,41,0.0,20.3,1,0.5,122,60.4,38,18.81,13.25,53.997,61.412,93.59,797.8,26.571,345.69,11.364,147.42,10.797,140.13,41.7,44.0,39.8,41.6,44.0,66.2,5.0,29.3,4628.0,4662,102
b1c81faa-3df17267,Adaptive,0.24683538083355466,0.17005415777167882,0.9666267940520841,0.13656622724419334,472,135,120,15,352,30,152,83.52,127,25,69.78,13.74,4,2.2,5,2.75,21,11.54,8.65,41.956,39.181,86.724,323.67,10.38,85.84,11.035,92.03,7.888,65.64,41.6,43.8,41.7,43.1,43.8,21.3,24.6,13.6,4674.0,4690,65
b1c81faa-c80764c5,Adaptive,0.49254895342949157,0.3367836910413516,0.9752865153769749,0.273186222046978,866,492,435,57,431,119,83,41.09,1,82,0.5,40.59,1,0.5,33,16.34,85,42.08,8.91,34.839,60.942,89.888,524.83,28.196,243.2,11.816,101.51,11.164,96.05,44.0,45.2,41.8,43.1,45.2,66.7,4.9,30.4,4601.0,4630,66
b1c9c847-3bda4659,Adaptive,0.7790403872650632,0.516749555493394,0.9459441741595209,0.47203868967618234,2937,3040,2367,673,570,175,28,13.79,0,28,0.0,13.79,1,0.49,153,75.37,21,10.34,13.83,56.016,59.739,92.584,808.19,27.485,372.33,11.534,156.07,10.982,148.66,45.4,46.8,43.4,44.6,46.8,61.2,4.8,31.6,4575.0,4588,107
b1ca2e5d-84cf9134,Adaptive,0.643570419328735,0.39250827596694726,0.9241785048408759,0.3950568118573305,3944,3517,2689,828,1255,182,21,10.34,0,21,0.0,10.34,1,0.49,162,79.8,19,9.36,15.11,61.789,59.447,90.61,876.28,26.379,391.19,11.396,168.71,10.778,159.63,46.3,47.2,44.4,45.4,47.2,60.9,4.8,29.7,4568.0,4574,116
b1cac6a7-04e33135,Adaptive,0.7784037855287901,0.5876688550064154,0.9861713217391012,0.41811366021892343,1368,1170,1077,93,291,76,30,28.3,0,30,0.0,28.3,1,0.94,46,43.4,29,27.36,6.26,45.64,57.475,90.846,341.26,25.787,155.13,11.309,67.73,10.624,63.73,46.6,47.5,44.7,45.4,47.5,60.7,4.9,27.4,4577.0,4579,48
b1cd1e94-549d0bfe,Adaptive,0.6795955113931943,0.4730278931182113,0.958779469287463,0.39618619068667166,1763,1495,1234,261,529,144,59,29.06,0,59,0.0,29.06,1,0.49,88,43.35,55,27.09,11.27,43.47,59.955,90.078,663.05,27.612,305.37,11.659,128.6,11.042,121.93,47.5,48.5,45.5,46.4,48.4,63.6,4.9,31.5,4575.0,4577,86
b1ceb32e-3f481b43,Adaptive,0.3211467580249503,0.18931689657019765,0.8980064422722006,0.2007992007992008,715,336,250,86,465,73,65,47.1,30,35,21.74,25.36,7,5.07,35,25.36,31,22.46,7.31,44.672,55.518,91.406,390.51,22.174,157.11,11.486,81.38,10.03,71.01,47.3,48.5,45.9,47.5,48.5,53.1,11.6,26.2,4570.0,4574,56
b1ceb32e-51852abe,Adaptive,0.6561314721411003,0.46927091192172743,0.9800308659646252,0.36071561910913513,2164,1614,1442,172,722,149,54,26.6,0,54,0.0,26.6,1,0.49,93,45.81,55,27.09,11.76,45.241,60.312,89.592,696.38,27.619,319.26,11.688,134.87,11.058,127.67,48.3,49.1,46.2,46.8,49.1,63.2,4.8,31.5,4572.0,4574,89
b1cebfb7-284f5117,Adaptive,0.5084276005330102,0.3344043964975495,0.9131328466530554,0.3188886267107126,1956,1430,1062,368,894,138,64,31.68,0,64,0.0,31.68,1,0.5,79,39.11,58,28.71,10.77,41.758,60.606,92.68,637.84,27.576,291.57,11.696,123.24,11.038,116.45,48.8,49.7,46.8,47.7,49.7,65.0,4.7,30.9,4568.0,4571,81
b1d0091f-75824d0d,Adaptive,0.7678750688879592,0.6058257594884606,0.9917879940626342,0.40850510667816387,1641,1359,1268,91,373,129,73,36.14,0,73,0.0,36.14,1,0.5,52,25.74,76,37.62,9.84,38.04,61.834,91.198,592.34,28.146,270.0,11.841,113.39,11.175,107.08,49.4,50.2,47.4,48.0,50.2,65.3,4.7,31.6,4573.0,4577,76
b1d0091f-f2c2d2ae,Adaptive,0.6387756832144331,0.47923149825697164,0.9688970827696161,0.353122637787789,2451,1813,1609,204,842,155,47,23.27,0,47,0.0,23.27,1,0.5,107,52.97,47,23.27,11.95,46.595,60.817,96.116,710.37,28.01,329.45,11.856,139.05,11.165,131.08,49.9,50.7,47.9,48.8,50.7,63.6,4.7,31.7,4572.0,4576,90
b1d0a191-03dcecc2,Adaptive,0.7281623021861117,0.4957762680219431,0.9666570388700574,0.4137784495217502,3220,2815,2405,410,815,172,30,14.85,0,30,0.0,14.85,1,0.5,142,70.3,29,14.36,13.67,55.095,62.12,92.262,830.95,27.444,369.2,11.71,157.34,11.013,148.06,50.2,51.1,48.3,49.3,51.1,65.7,4.8,31.1,4570.0,4578,106
b1d0a191-06deb55d,Adaptive,0.6527615463579881,0.43780985452197135,0.923532794463131,0.4019759655142339,2441,2203,1692,511,749,160,42,20.79,0,42,0.0,20.79,1,0.5,116,57.43,43,21.29,12.91,50.388,59.434,93.854,753.05,26.997,343.81,11.645,147.9,10.951,139.19,50.5,51.4,48.4,49.0,51.4,60.8,4.9,30.2,4569.0,4574,99
b1d0a191-28f0e779,Adaptive,0.7103443621056831,0.4912189261104764,0.943645033486119,0.43025899881922836,1615,1526,1191,335,424,134,56,29.47,2,54,1.05,28.42,1,0.53,87,45.79,46,24.21,10.63,44.027,59.369,97.89,613.07,27.228,282.63,11.702,121.13,11.006,114.03,50.8,51.6,48.7,49.6,51.6,61.3,5.0,30.5,4572.0,4589,82
b1d0a191-2ed2269e,Adaptive,0.7276747064811737,0.48330262007309405,0.9554256135225377,0.42522700213220377,3126,2862,2350,512,776,168,35,17.24,0,35,0.0,17.24,1,0.49,135,66.5,32,15.76,13.53,54.004,58.785,89.43,779.04,27.134,361.96,11.715,155.92,10.994,146.45,51.2,52.0,49.3,50.2,51.9,61.9,4.8,30.9,4583.0,4587,101
b1d0a191-5490450b,Adaptive,0.6834439039293104,0.48267326922138026,0.9305373629512794,0.4083288170101501,1778,1621,1286,335,492,151,53,25.98,0,53,0.0,25.98,1,0.49,96,47.06,54,26.47,11.99,46.224,58.571,88.922,682.56,27.306,320.64,11.751,137.63,11.026,129.28,51.4,52.4,49.7,50.4,52.4,62.2,4.7,30.5,4593.0,4596,90
