sequence,system,ap_50,ap_50_95,avg_precision,avg_recall,total_gt,total_preds,total_tp,total_fp,total_fn,infer_count,skip_count,skip_rate_pct,erd_empty_count,predict_count,erd_empty_rate_pct,predict_rate_pct,erd_infer_count,erd_infer_rate_pct,augmented_infer_count,augmented_infer_rate_pct,pure_infer_count,pure_infer_rate_pct,wall_duration_s,avg_frame_time_ms,avg_power_w,max_power_w,energy_j,avg_power_gpu_w,energy_gpu_j,avg_power_cpu_w,energy_cpu_j,avg_power_io_w,energy_io_j,avg_gpu_temp_c,max_gpu_temp_c,avg_cpu_temp_c,max_cpu_temp_c,max_tj_temp_c,avg_gpu_util_pct,avg_cpu_util_pct,avg_emc_util_pct,avg_ram_used_mb,max_ram_used_mb,n_tegrastats_samples
b1c66a42-6f7d68ca,Vanilla,0.7277110871866928,0.5774025526552735,0.9952003075772666,0.3754402659682831,2612,1977,1909,68,703,202,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,202,100.0,16.53,70.782,58.364,92.576,951.54,27.336,446.78,11.622,189.61,11.073,180.71,49.3,50.9,47.3,48.9,50.9,59.5,4.7,30.2,5674.0,5695,124
b1c66a42-6f7d68ca,Adaptive,0.7277361929061694,0.517025245836052,0.975866511705055,0.40865704967092575,2612,2227,1933,294,679,180,22,10.89,0,22,0.0,10.89,1,0.5,126,62.38,53,26.24,15.36,65.139,58.088,92.51,873.62,26.389,399.41,11.464,173.19,10.827,163.68,50.5,51.5,48.9,49.7,51.5,57.0,4.8,29.3,5598.0,5660,116
b1c81faa-3df17267,Vanilla,0.3636826827848477,0.2736027557006562,0.9552424625920495,0.2004635844940426,472,202,179,23,293,182,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,182,100.0,11.76,56.417,67.077,94.572,773.33,32.548,377.32,12.858,148.73,12.217,141.4,51.9,52.9,50.0,50.7,52.9,72.3,4.5,36.8,5549.0,5558,91
b1c81faa-3df17267,Adaptive,0.23767761814198482,0.15745946699449714,0.9238492188413452,0.1413946081219429,472,149,120,29,352,38,144,79.12,126,18,69.23,9.89,4,2.2,11,6.04,23,12.64,8.82,43.587,40.293,93.368,344.26,12.346,104.65,11.784,100.71,8.423,71.82,49.9,52.5,50.2,51.5,52.5,22.6,23.7,17.2,5569.0,5580,67
b1c81faa-c80764c5,Vanilla,0.5368164616333625,0.42411233813149096,0.999704611690331,0.27120501090719284,866,469,465,4,401,202,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,202,100.0,13.17,56.968,68.547,98.11,887.06,32.493,419.83,12.85,165.82,12.212,157.65,51.8,52.8,49.9,51.0,52.8,71.2,4.6,36.6,5568.0,5572,102
b1c81faa-c80764c5,Adaptive,0.524159363163746,0.37739248210435394,0.9922068713532322,0.27445228138068783,866,481,457,24,409,125,77,38.12,1,76,0.5,37.62,1,0.5,17,8.42,107,52.97,8.91,35.856,66.021,97.698,568.16,29.93,258.95,12.435,107.29,11.69,100.95,52.3,53.0,50.5,50.9,53.0,67.5,5.0,34.2,5556.0,5562,69
b1c9c847-3bda4659,Vanilla,0.8341553942437361,0.6621624476447748,0.9921920921958113,0.43844280334012997,2937,2610,2466,144,471,203,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,203,100.0,15.5,65.946,64.099,95.844,978.79,28.895,442.53,12.058,184.48,11.381,174.17,52.4,53.3,50.5,50.9,53.3,65.6,4.9,32.3,5532.0,5543,122
b1c9c847-3bda4659,Adaptive,0.8265452643962214,0.5773243020134091,0.9635269292294601,0.4856519721691954,2937,3043,2480,563,457,198,5,2.46,0,5,0.0,2.46,1,0.49,175,86.21,22,10.84,16.47,70.616,60.462,93.314,975.08,26.943,436.77,11.627,188.17,10.948,177.31,52.1,52.9,50.3,50.7,52.8,59.7,5.0,29.9,5548.0,5554,128
b1ca2e5d-84cf9134,Vanilla,0.6441324086062441,0.4217183508101233,0.9725377056401081,0.34884082733177374,3944,2870,2605,265,1339,203,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,203,100.0,17.49,75.598,59.554,95.622,1025.76,26.387,455.38,11.424,196.96,10.814,186.56,52.0,53.0,50.2,50.8,53.0,58.7,4.5,28.6,5529.0,5542,132
b1ca2e5d-84cf9134,Adaptive,0.6626606220372405,0.4164025714418744,0.9479649979124899,0.39387768894547304,3944,3384,2713,671,1231,197,6,2.96,0,6,0.0,2.96,1,0.49,168,82.76,28,13.79,18.41,79.882,55.588,97.306,1012.65,24.761,451.66,11.108,202.28,10.469,190.76,51.6,52.5,49.9,50.9,52.6,53.3,4.8,26.9,5564.0,5566,139
