sequence,system,ap_50,ap_50_95,avg_precision,avg_recall,total_gt,total_preds,total_tp,total_fp,total_fn,infer_count,skip_count,skip_rate_pct,erd_empty_count,predict_count,erd_empty_rate_pct,predict_rate_pct,erd_infer_count,erd_infer_rate_pct,augmented_infer_count,augmented_infer_rate_pct,pure_infer_count,pure_infer_rate_pct,wall_duration_s,avg_frame_time_ms,avg_power_w,max_power_w,energy_j,avg_power_gpu_w,energy_gpu_j,avg_power_cpu_w,energy_cpu_j,avg_power_io_w,energy_io_j,avg_gpu_temp_c,max_gpu_temp_c,avg_cpu_temp_c,max_cpu_temp_c,max_tj_temp_c,avg_gpu_util_pct,avg_cpu_util_pct,avg_emc_util_pct,avg_ram_used_mb,max_ram_used_mb,n_tegrastats_samples
b1c66a42-6f7d68ca,Adaptive,0.6162066411564464,0.4061339511972545,0.9251205445987357,0.38462617987220593,2612,2267,1695,572,917,132,70,34.65,0,70,0.0,34.65,1,0.5,110,54.46,21,10.4,11.71,46.24,54.982,92.608,630.47,24.876,286.28,10.952,125.67,10.422,119.66,40.2,42.2,38.2,39.8,42.2,57.0,5.1,27.0,4508.0,4541,89
b1c81faa-3df17267,Adaptive,0.21870654186650135,0.15228428660342824,0.9505213838479434,0.1343096622541136,472,137,106,31,366,29,153,84.07,124,29,68.13,15.93,4,2.2,11,6.04,14,7.69,8.32,40.353,37.937,89.548,305.18,10.143,82.97,10.965,88.36,7.846,63.42,40.2,42.8,40.1,41.5,42.8,18.8,24.4,13.6,4559.0,4563,62
b1c81faa-c80764c5,Adaptive,0.45452593348959697,0.2860225097119633,0.9570953439433789,0.2587593475630041,866,479,408,71,458,82,120,59.41,1,119,0.5,58.91,1,0.5,20,9.9,61,30.2,6.54,24.12,62.655,92.13,393.6,26.32,167.04,11.325,71.53,10.772,68.16,42.3,43.5,40.0,40.9,43.5,66.3,5.0,27.9,4566.0,4570,50
b1c9c847-3bda4659,Adaptive,0.6990750212058218,0.4527385455441345,0.91041578401767,0.4514285081563788,2937,3075,2172,903,765,147,56,27.59,0,56,0.0,27.59,1,0.49,135,66.5,11,5.42,12.09,48.565,58.401,91.058,684.56,26.42,311.47,11.276,132.72,10.781,126.99,43.6,44.8,41.4,42.3,44.8,61.7,4.8,30.4,4568.0,4573,95
b1ca2e5d-84cf9134,Adaptive,0.5957860667888896,0.3508549696223504,0.8993982336652021,0.381149820193224,3944,3527,2535,992,1409,150,53,26.11,0,53,0.0,26.11,1,0.49,134,66.01,15,7.39,12.84,51.907,54.494,95.844,682.57,25.571,323.04,11.124,140.19,10.574,133.34,44.5,45.4,42.4,43.2,45.4,55.7,4.9,28.8,4563.0,4570,98
b1cac6a7-04e33135,Adaptive,0.77215867506046,0.570012570844323,0.9792307676504094,0.4193609374461146,1368,1187,1075,112,293,59,47,44.34,0,47,0.0,44.34,1,0.94,40,37.74,18,16.98,5.21,37.098,58.163,94.362,286.52,24.119,120.75,10.961,54.55,10.291,51.31,44.8,45.7,42.7,43.5,45.7,58.7,4.9,25.2,4582.0,4591,38
b1cd1e94-549d0bfe,Adaptive,0.5945862017050453,0.40219273719606213,0.9289419747709124,0.370969783262142,1763,1470,1098,372,665,115,88,43.35,0,88,0.0,43.35,1,0.49,72,35.47,42,20.69,9.21,34.367,57.776,87.23,517.96,26.817,240.86,11.441,102.48,10.854,97.33,45.5,46.5,43.4,44.5,46.5,58.7,4.9,30.4,4573.0,4582,70
b1ceb32e-3f481b43,Adaptive,0.26655766388636454,0.14302591863756173,0.8405170602761215,0.1864747017688194,715,340,216,124,499,56,82,59.42,26,56,18.84,40.58,6,4.35,23,16.67,27,19.57,5.81,34.664,52.399,90.676,289.03,21.03,117.7,11.395,63.53,9.845,54.95,45.4,46.6,43.9,45.5,46.6,50.6,12.0,25.1,4555.0,4565,43
b1ceb32e-51852abe,Adaptive,0.6263572906128629,0.4370096373681599,0.9653914551312301,0.3526730684490938,2164,1615,1394,221,770,114,89,43.84,0,89,0.0,43.84,1,0.49,74,36.45,39,19.21,9.42,34.791,58.394,92.222,531.92,26.406,241.18,11.424,104.09,10.8,98.47,46.3,47.1,44.1,44.6,47.1,58.5,4.9,30.0,4552.0,4559,71
b1cebfb7-284f5117,Adaptive,0.41982847657733413,0.25982736308390997,0.849294678222758,0.29423824828351985,1956,1466,911,555,1045,111,91,45.05,0,91,0.0,45.05,1,0.5,73,36.14,37,18.32,9.06,34.01,59.28,90.422,522.63,26.467,234.44,11.369,100.49,10.794,95.5,46.7,47.6,44.6,45.1,47.6,61.1,4.8,29.6,4552.0,4557,71
b1d0091f-75824d0d,Adaptive,0.7399446261045742,0.5591275694889078,0.9806375770426565,0.401772901507611,1641,1361,1234,127,407,97,105,51.98,0,105,0.0,51.98,1,0.5,44,21.78,52,25.74,7.99,29.551,57.895,94.686,447.1,26.206,202.73,11.4,87.93,10.748,82.99,47.1,47.9,45.0,45.6,47.9,59.7,4.9,29.3,4555.0,4562,61
b1d0091f-f2c2d2ae,Adaptive,0.6162466569220608,0.45182049591211043,0.9577080951417603,0.35130295767650194,2451,1837,1565,272,886,123,79,39.11,0,79,0.0,39.11,1,0.5,91,45.05,31,15.35,10.06,37.723,58.378,92.168,572.04,26.498,260.12,11.433,112.01,10.819,106.06,47.5,48.4,45.4,46.1,48.4,59.8,4.8,29.9,4553.0,4557,78
b1d0a191-03dcecc2,Adaptive,0.6702338194786142,0.4344563988481804,0.9405103942785518,0.4014701321732142,3220,2844,2257,587,963,135,67,33.17,0,67,0.0,33.17,1,0.5,116,57.43,18,8.91,11.29,44.343,61.383,91.232,671.73,26.128,287.75,11.381,125.11,10.742,118.17,47.9,48.8,45.8,46.4,48.8,61.6,4.8,29.3,4554.0,4558,88
b1d0a191-06deb55d,Adaptive,0.5967584547080791,0.3787593890503381,0.9001805536164584,0.37920384025976,2441,2160,1576,584,865,120,82,40.59,0,82,0.0,40.59,1,0.5,89,44.06,30,14.85,10.61,40.077,56.563,94.016,586.86,24.868,259.13,11.149,115.71,10.471,108.82,47.9,48.8,45.9,46.5,48.9,58.4,4.9,27.9,4555.0,4558,79
b1d0a191-28f0e779,Adaptive,0.651260538688846,0.4303887377767814,0.9217859342234115,0.4101978303536967,1615,1508,1107,401,508,107,83,43.68,2,81,1.05,42.63,1,0.53,71,37.37,35,18.42,8.78,35.667,58.047,94.056,496.75,26.193,224.15,11.501,98.02,10.785,92.07,48.3,49.2,46.4,47.2,49.2,61.4,5.2,28.9,4561.0,4570,65
b1d0a191-2ed2269e,Adaptive,0.675628776381114,0.4365548256668979,0.9302231386821871,0.41343887968272514,3126,2898,2221,677,905,137,66,32.51,0,66,0.0,32.51,1,0.49,113,55.67,23,11.33,11.41,44.694,58.018,91.222,642.07,26.147,291.61,11.393,126.84,10.762,119.9,48.8,49.7,46.9,47.6,49.7,58.3,4.9,29.5,4568.0,4574,86
b1d0a191-5490450b,Adaptive,0.6225767326365992,0.4293306807955548,0.9043068284174125,0.38803549089074146,1778,1605,1196,409,582,116,88,43.14,0,88,0.0,43.14,1,0.49,80,39.22,35,17.16,9.32,34.8,53.797,94.522,487.89,26.749,243.93,11.554,104.94,10.865,98.83,49.1,50.1,47.0,48.0,50.1,58.2,4.9,29.4,4574.0,4589,70
b1d0a191-65deaeef,Adaptive,0.7336983253141849,0.4875974390392141,0.9248316706820295,0.4381716649975077,3276,3204,2568,636,708,146,56,27.72,0,56,0.0,27.72,1,0.5,131,64.85,14,6.93,12.19,48.464,55.74,92.776,664.01,26.343,316.24,11.462,137.27,10.797,129.42,49.5,50.3,47.6,48.4,50.3,58.5,4.8,29.8,4575.0,4579,91
b1d0a191-de8948f6,Adaptive,0.6931485770593828,0.5071751357062723,0.9589521298701109,0.40373879584528816,2478,2141,1769,372,709,126,76,37.62,0,76,0.0,37.62,1,0.5,96,47.52,29,14.36,10.22,39.417,56.66,90.916,558.92,26.696,265.64,11.566,114.84,10.898,108.3,49.7,50.8,47.7,48.7,50.8,58.2,4.8,29.7,4580.0,4587,76
b1d10d08-5b108225,Adaptive,0.5528194489127979,0.38631550897658107,0.9636732715656534,0.314270324145664,2123,1414,1208,206,915,111,91,45.05,0,91,0.0,45.05,1,0.5,71,35.15,39,19.31,8.62,33.649,54.83,91.342,460.88,27.583,232.19,11.767,98.62,11.053,92.78,50.1,51.0,48.1,48.7,51.0,58.0,4.8,31.0,4581.0,4583,64
b1d10d08-743fd86c,Adaptive,0.27277802255998274,0.18274132060882275,0.9314573074864264,0.17044301485510188,1016,388,289,99,727,76,126,62.38,9,117,4.46,57.92,4,1.98,10,4.95,62,30.69,6.64,24.931,55.334,87.952,349.67,24.761,157.74,11.538,73.3,10.542,67.04,50.1,50.7,48.4,49.5,50.8,56.0,7.1,28.1,4580.0,4588,49
b1d10d08-c35503b8,Adaptive,0.6691529327670338,0.4561795702489482,0.9312281041979497,0.4170826941711803,3127,2923,2186,737,941,145,57,28.22,0,57,0.0,28.22,1,0.5,130,64.36,14,6.93,11.82,47.386,60.729,93.508,697.32,26.821,309.57,11.641,134.15,10.895,125.62,50.5,51.5,48.6,49.5,51.5,62.1,4.8,30.2,4582.0,4587,91
b1d10d08-da110fcb,Adaptive,0.7048700501259666,0.48660290960235775,0.9230448657646758,0.4451492091474462,2250,2269,1668,601,582,122,72,37.11,0,72,0.0,37.11,1,0.52,96,49.48,25,12.89,10.1,41.338,59.207,95.326,579.73,26.286,257.75,11.546,112.9,10.787,105.59,50.6,51.4,48.6,49.1,51.4,57.7,4.8,29.0,4581.0,4586,76
