sequence,system,ap_50,ap_50_95,avg_precision,avg_recall,total_gt,total_preds,total_tp,total_fp,total_fn,infer_count,skip_count,skip_rate_pct,erd_empty_count,predict_count,erd_empty_rate_pct,predict_rate_pct,erd_infer_count,erd_infer_rate_pct,augmented_infer_count,augmented_infer_rate_pct,pure_infer_count,pure_infer_rate_pct,wall_duration_s,avg_frame_time_ms,avg_power_w,max_power_w,energy_j,avg_power_gpu_w,energy_gpu_j,avg_power_cpu_w,energy_cpu_j,avg_power_io_w,energy_io_j,avg_gpu_temp_c,max_gpu_temp_c,avg_cpu_temp_c,max_cpu_temp_c,max_tj_temp_c,avg_gpu_util_pct,avg_cpu_util_pct,avg_emc_util_pct,avg_ram_used_mb,max_ram_used_mb,n_tegrastats_samples
b251064f-4696b75e,Adaptive,0.5380522777469278,0.34497220045796945,0.9146057638447069,0.32833244777159953,886,667,511,156,375,122,57,31.84,28,29,15.64,16.2,10,5.59,46,25.7,66,36.87,17.44,92.137,40.175,45.681,697.81,25.828,449.41,4.667,80.37,9.68,168.03,63.1,65.0,64.2,66.4,66.2,70.4,30.4,41.7,4512.0,4517,144
b251064f-5f6b663e,Vanilla,0.833932659857337,0.6722673976742791,0.9896869276888536,0.44120175561262115,1184,1063,996,67,188,203,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,203,100.0,25.09,116.809,41.705,44.587,1044.92,29.8,747.02,1.616,40.32,10.289,257.58,63.9,65.2,63.6,64.2,65.2,71.2,7.1,48.8,4484.0,4486,200
b251064f-5f6b663e,Adaptive,0.7771050590332145,0.5414000050400172,0.9604994566592723,0.4518381570546925,1184,1143,946,197,238,146,57,28.08,0,57,0.0,28.08,1,0.49,65,32.02,80,39.41,18.75,86.322,41.874,44.683,780.07,28.659,534.04,3.16,58.71,10.055,187.32,63.5,64.9,64.0,65.3,65.3,63.5,19.0,46.3,4511.0,4516,153
b251064f-8d92db81,Vanilla,0.8104031197066395,0.644896207894371,0.9884588261360441,0.43378948355576846,3464,3066,2833,233,631,202,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,202,100.0,26.98,127.536,40.103,43.091,1078.2,28.273,760.47,1.877,50.28,9.953,267.45,63.8,65.0,63.5,64.3,65.0,82.9,7.0,45.3,4489.0,4492,214
b251064f-8d92db81,Adaptive,0.8078015121524189,0.5719060038988348,0.9642921407248758,0.4711803073267832,3464,3476,2861,615,603,196,6,2.97,0,6,0.0,2.97,1,0.5,167,82.67,28,13.86,27.79,131.776,39.574,43.189,1099.38,26.723,742.92,3.213,88.92,9.638,267.54,63.0,64.7,63.5,64.7,64.7,70.4,18.2,42.7,4519.0,4521,225
b251064f-e7a165fd,Vanilla,0.7400253406734862,0.540841188824164,0.9794878567876821,0.3982722450918303,3840,3158,2894,264,946,202,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,202,100.0,27.24,127.821,39.93,41.994,1082.98,28.119,762.78,1.896,51.28,9.915,268.92,63.4,64.5,63.0,63.6,64.5,79.3,7.1,45.0,4494.0,4496,218
b251064f-e7a165fd,Adaptive,0.7479586456441418,0.5149456231938565,0.9573169449387502,0.4406489216629997,3840,3636,2955,681,885,197,5,2.48,0,5,0.0,2.48,1,0.5,178,88.12,18,8.91,28.17,132.729,39.437,42.689,1108.58,26.627,748.9,3.211,90.01,9.599,269.67,62.8,64.3,63.2,63.8,64.3,75.2,18.2,42.5,4520.0,4524,233
b251b746-00138418,Vanilla,0.4839115964542078,0.39312440367420465,0.9961872850426817,0.251003302543331,1887,953,916,37,971,203,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,203,100.0,24.73,115.877,42.345,44.101,1045.17,30.342,749.32,1.62,39.78,10.382,256.07,63.6,64.8,63.0,63.8,64.8,90.4,7.1,49.5,4502.0,4505,197
b251b746-00138418,Adaptive,0.4963220982140803,0.3907575440503398,0.9916578254755343,0.2622017360742362,1887,1003,943,60,944,146,57,28.08,0,57,0.0,28.08,1,0.49,44,21.67,101,49.75,18.2,84.763,42.68,45.183,770.82,29.305,529.42,3.189,57.43,10.187,183.97,63.3,64.9,63.5,64.2,64.9,69.3,19.0,47.8,4529.0,4533,152
b255cd6c-0bdf0ac7,Vanilla,0.7060176129780665,0.5890729968578122,0.99654059080321,0.364674898245374,692,507,490,17,202,186,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,186,100.0,22.08,113.178,42.962,44.985,946.36,30.85,679.76,1.614,35.45,10.498,231.15,64.0,65.1,63.4,64.2,65.1,85.3,6.8,50.7,4505.0,4507,180
b255cd6c-0bdf0ac7,Adaptive,0.6825827329301271,0.5212667840706073,0.9902956809311604,0.36371786025361125,692,511,476,35,216,111,75,40.32,7,68,3.76,36.56,3,1.61,16,8.6,92,49.46,14.29,71.969,41.86,44.785,593.5,28.195,399.67,3.607,51.16,10.058,142.67,63.3,64.9,63.7,65.9,65.9,65.6,22.0,45.5,4534.0,4537,118
b255cd6c-2f889586,Vanilla,0.6418434379451969,0.4925498839558241,0.9838942290717184,0.338549246079768,2910,2019,1896,123,1014,203,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,203,100.0,26.06,121.761,41.019,42.693,1066.98,29.104,757.29,1.793,46.49,10.122,263.19,63.8,65.0,63.4,64.1,65.0,76.3,6.8,47.1,4508.0,4511,218
b255cd6c-2f889586,Adaptive,0.6617970414858083,0.4664803411398702,0.9710248111845962,0.3732799782962561,2910,2280,1968,312,942,191,12,5.91,0,12,0.0,5.91,1,0.49,150,73.89,40,19.7,25.45,119.061,41.146,43.787,1042.93,28.041,711.01,3.21,81.13,9.895,250.79,63.2,64.8,63.7,64.6,64.8,78.4,18.6,45.4,4533.0,4537,208
b255cd6c-5ccba454,Vanilla,0.31240796276297356,0.24185547203996882,0.9919457209950369,0.16562491080857378,458,153,144,9,314,156,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,156,100.0,18.26,111.363,43.406,45.098,785.02,31.181,564.0,1.622,29.25,10.603,191.77,64.0,65.2,63.4,64.1,65.2,88.1,7.3,50.8,4506.0,4510,145
b255cd6c-5ccba454,Adaptive,0.28852597324258966,0.21447929871891272,0.9927190150438348,0.15082780936822596,458,139,133,6,325,66,90,57.69,54,36,34.62,23.08,8,5.13,7,4.49,51,32.69,11.76,70.861,36.275,44.897,422.92,20.727,241.62,6.612,77.15,8.936,104.15,62.0,64.3,64.3,66.6,66.6,37.8,44.7,34.0,4532.0,4535,97
