sequence,system,ap_50,ap_50_95,avg_precision,avg_recall,total_gt,total_preds,total_tp,total_fp,total_fn,infer_count,skip_count,skip_rate_pct,erd_empty_count,predict_count,erd_empty_rate_pct,predict_rate_pct,erd_infer_count,erd_infer_rate_pct,augmented_infer_count,augmented_infer_rate_pct,pure_infer_count,pure_infer_rate_pct,wall_duration_s,avg_frame_time_ms,avg_power_w,max_power_w,energy_j,avg_power_gpu_w,energy_gpu_j,avg_power_cpu_w,energy_cpu_j,avg_power_io_w,energy_io_j,avg_gpu_temp_c,max_gpu_temp_c,avg_cpu_temp_c,max_cpu_temp_c,max_tj_temp_c,avg_gpu_util_pct,avg_cpu_util_pct,avg_emc_util_pct,avg_ram_used_mb,max_ram_used_mb,n_tegrastats_samples
b1c66a42-6f7d68ca,Adaptive,0.5045640804440178,0.3049288317267887,0.8496728164915064,0.3496475933724689,2612,2304,1479,825,1133,97,105,51.98,0,105,0.0,51.98,1,0.5,82,40.59,14,6.93,8.04,30.054,59.923,105.424,470.08,26.377,207.54,11.877,93.11,10.68,83.77,54.8,56.0,53.4,54.5,56.0,56.3,5.4,27.3,4688.0,4713,63
b1c81faa-3df17267,Adaptive,0.20624173318387706,0.13066576863327975,0.9118378739379647,0.12943401937046004,472,140,104,36,368,21,161,88.46,124,37,68.13,20.33,4,2.2,7,3.85,10,5.49,7.68,37.812,35.244,85.256,259.03,8.846,65.5,11.652,86.25,7.803,57.73,53.1,55.6,54.1,55.4,55.7,12.4,25.8,12.4,4673.0,4692,58
b1c81faa-c80764c5,Adaptive,0.42210754643815745,0.255739695372449,0.9280188902862838,0.2486488169961573,866,482,389,93,477,64,138,68.32,1,137,0.5,67.82,1,0.5,18,8.91,45,22.28,4.93,17.167,62.186,105.816,286.76,26.81,125.52,11.991,55.8,10.745,50.1,54.8,55.9,52.8,53.4,55.9,60.8,5.1,27.5,4636.0,4639,37
b1c9c847-3bda4659,Adaptive,0.5307462172507315,0.32728500366539665,0.8129731688690051,0.38717944278789834,2937,3068,1788,1280,1149,107,96,47.29,0,96,0.0,47.29,1,0.49,95,46.8,11,5.42,8.83,33.778,59.511,101.604,510.93,26.286,225.44,11.845,101.42,10.668,91.38,55.3,56.2,53.5,54.0,56.3,51.1,5.1,30.2,4639.0,4642,66
b1ca2e5d-84cf9134,Adaptive,0.501264581839395,0.27763557790521654,0.8461493527929593,0.34814652647736877,3944,3515,2212,1303,1732,109,94,46.31,0,94,0.0,46.31,1,0.49,100,49.26,8,3.94,9.48,36.847,61.358,100.45,563.58,25.092,233.61,11.641,107.84,10.43,96.61,55.4,56.5,53.6,54.1,56.5,54.8,5.2,28.1,4638.0,4642,73
b1cac6a7-04e33135,Adaptive,0.7578224766440504,0.5589259368059951,0.9727170991423806,0.417190995525727,1368,1192,1061,131,307,49,57,53.77,0,57,0.0,53.77,1,0.94,35,33.02,13,12.26,4.17,28.68,57.877,104.088,223.11,24.515,96.16,11.572,45.02,10.292,40.15,55.1,56.1,53.3,53.8,56.1,53.6,5.0,25.2,4643.0,4646,31
b1cd1e94-549d0bfe,Adaptive,0.49853959324380226,0.32278491492236067,0.8617119087684122,0.34120432109194915,1763,1504,968,536,795,87,116,57.14,0,116,0.0,57.14,1,0.49,57,28.08,29,14.29,6.81,23.916,60.777,100.266,399.19,27.098,178.03,12.022,78.65,10.805,70.78,55.6,56.4,53.7,54.2,56.4,56.5,5.1,30.7,4641.0,4642,51
b1ceb32e-3f481b43,Adaptive,0.1905011203092367,0.09181404645293481,0.7234482774538357,0.1519546718341899,715,332,176,156,539,41,97,70.29,27,70,19.57,50.72,5,3.62,17,12.32,19,13.77,4.66,27.554,52.696,86.382,229.48,18.982,83.25,11.657,50.87,9.427,41.17,54.8,56.0,53.8,55.2,56.0,44.8,14.5,24.9,4628.0,4640,34
b1ceb32e-51852abe,Adaptive,0.5614625501387254,0.3737750582100366,0.9255341318875797,0.3339192955242511,2164,1623,1295,328,869,85,118,58.13,0,118,0.0,58.13,1,0.49,55,27.09,29,14.29,6.74,23.232,59.464,97.756,383.55,27.151,176.88,12.061,78.39,10.804,70.26,55.7,57.0,53.7,54.2,57.0,52.5,5.1,30.4,4625.0,4631,51
b1cebfb7-284f5117,Adaptive,0.32917695625009696,0.19051387196169478,0.7793354224588643,0.25067898338135186,1956,1399,759,640,1197,80,122,60.4,0,122,0.0,60.4,2,0.99,50,24.75,28,13.86,6.36,22.366,56.429,102.446,342.78,26.585,163.02,11.934,72.8,10.687,65.3,55.7,56.7,53.8,54.7,56.7,52.8,5.2,29.4,4624.0,4627,48
