sequence,system,ap_50,ap_50_95,avg_precision,avg_recall,total_gt,total_preds,total_tp,total_fp,total_fn,infer_count,skip_count,skip_rate_pct,erd_empty_count,predict_count,erd_empty_rate_pct,predict_rate_pct,erd_infer_count,erd_infer_rate_pct,augmented_infer_count,augmented_infer_rate_pct,pure_infer_count,pure_infer_rate_pct,wall_duration_s,avg_frame_time_ms,avg_power_w,max_power_w,energy_j,avg_power_gpu_w,energy_gpu_j,avg_power_cpu_w,energy_cpu_j,avg_power_io_w,energy_io_j,avg_gpu_temp_c,max_gpu_temp_c,avg_cpu_temp_c,max_cpu_temp_c,max_tj_temp_c,avg_gpu_util_pct,avg_cpu_util_pct,avg_emc_util_pct,avg_ram_used_mb,max_ram_used_mb,n_tegrastats_samples
b1c66a42-6f7d68ca,Adaptive,0.6120692362520259,0.4060219578580607,0.9222973914412637,0.3846345134546746,2612,2277,1686,591,926,130,72,35.64,0,72,0.0,35.64,1,0.5,109,53.96,20,9.9,18.01,82.184,38.43,43.302,689.18,26.088,468.06,2.818,50.3,9.525,170.82,51.5,54.8,51.9,53.4,54.8,62.3,18.3,43.3,3466.0,3501,146
b1c81faa-3df17267,Adaptive,0.2186783112745272,0.15225954603244596,0.9504196660375617,0.13429419769887418,472,137,106,31,366,29,153,84.07,124,29,68.13,15.93,4,2.2,11,6.04,14,7.69,11.4,57.878,28.539,43.801,327.66,11.119,130.28,10.253,115.14,7.168,82.25,50.2,54.4,54.8,56.2,56.2,21.9,74.5,17.8,3510.0,3533,98
b1c81faa-c80764c5,Adaptive,0.45451497842340893,0.2859676924906152,0.9570749359371967,0.258754526124962,866,479,408,71,458,82,120,59.41,1,119,0.5,58.91,1,0.5,20,9.9,61,30.2,10.35,46.326,41.158,45.096,420.29,28.242,288.72,3.024,30.62,9.892,100.94,54.0,55.7,53.8,54.8,55.7,72.7,19.7,44.6,3503.0,3508,86
b1c9c847-3bda4659,Adaptive,0.6989605544999634,0.45289683186918833,0.910501495885086,0.4510937366998638,2937,3072,2172,900,765,147,56,27.59,0,56,0.0,27.59,1,0.49,135,66.5,11,5.42,19.29,88.251,40.783,43.601,782.95,28.01,538.05,2.98,56.92,9.793,187.98,55.2,57.8,55.1,56.3,57.8,80.2,18.8,45.7,3506.0,3513,158
b1ca2e5d-84cf9134,Adaptive,0.5958423615103696,0.351109386180307,0.8994674538125466,0.38118130722660487,3944,3527,2535,992,1409,150,53,26.11,0,53,0.0,26.11,1,0.49,134,66.01,15,7.39,20.09,91.973,40.29,43.315,805.92,27.528,550.74,3.029,60.4,9.733,194.78,56.4,58.6,56.3,57.6,58.6,72.9,18.9,45.0,3504.0,3514,164
b1cac6a7-04e33135,Adaptive,0.7721563219663223,0.5700136313249635,0.9792280700436904,0.41935908994615145,1368,1187,1075,112,293,59,47,44.34,0,47,0.0,44.34,1,0.94,40,37.74,18,16.98,7.96,67.515,39.131,43.315,309.84,26.524,210.3,3.012,23.56,9.594,75.98,56.4,58.4,56.5,57.2,58.4,75.0,19.2,40.2,3508.0,3514,64
b1cd1e94-549d0bfe,Adaptive,0.5945837213148771,0.40219125248063536,0.9289400029137025,0.3709728701463569,1763,1470,1098,372,665,115,88,43.35,0,88,0.0,43.35,1,0.49,72,35.47,42,20.69,14.81,66.133,41.162,44.2,603.12,28.241,413.92,2.994,43.69,9.927,145.5,57.5,59.6,57.5,58.6,59.6,77.3,19.0,45.7,3512.0,3520,122
b1ceb32e-3f481b43,Adaptive,0.2666177273147676,0.14305271895389485,0.8406663516058115,0.1865076100370218,715,340,216,124,499,56,82,59.42,26,56,18.84,40.58,6,4.35,23,16.67,27,19.57,9.18,60.625,36.044,44.697,326.51,21.817,197.98,5.243,47.03,8.984,81.51,56.6,59.4,58.2,61.1,61.1,67.2,35.3,34.2,3507.0,3512,74
b1ceb32e-51852abe,Adaptive,0.6263292961632625,0.4371364095296573,0.9653510032229934,0.35265618651390906,2164,1615,1394,221,770,114,89,43.84,0,89,0.0,43.84,1,0.49,74,36.45,39,19.21,15.4,66.346,39.699,42.817,610.48,27.11,417.37,2.918,44.58,9.671,148.53,58.2,60.2,58.4,59.4,60.1,77.9,19.5,43.8,3510.0,3517,126
b1cebfb7-284f5117,Adaptive,0.4218159558706574,0.2627480077814506,0.8500096636907466,0.29507341471472603,1956,1467,916,551,1040,113,89,44.06,0,89,0.0,44.06,1,0.5,75,37.13,37,18.32,15.13,66.043,40.047,43.802,599.35,27.456,411.05,2.851,42.43,9.74,145.88,58.7,60.7,58.8,59.9,60.7,69.7,18.7,44.0,3516.0,3523,120
b1d0091f-75824d0d,Adaptive,0.7400017394872741,0.5592908789245762,0.9807077638955187,0.40181006456073043,1641,1361,1234,127,407,97,105,51.98,0,105,0.0,51.98,1,0.5,44,21.78,52,25.74,12.9,56.319,40.329,44.698,514.05,27.591,351.83,2.944,37.35,9.794,124.87,59.2,61.1,59.1,60.1,61.1,81.8,19.3,43.7,3517.0,3522,105
b1d0091f-f2c2d2ae,Adaptive,0.61585751608658,0.4514808924415985,0.9577043624337354,0.35110785780380427,2451,1836,1564,272,887,123,79,39.11,0,79,0.0,39.11,1,0.5,91,45.05,31,15.35,16.2,71.636,40.62,44.099,654.66,27.819,448.77,2.988,47.86,9.813,158.03,59.5,61.8,59.8,61.1,61.8,72.3,19.3,44.9,3523.0,3530,132
b1d0a191-03dcecc2,Adaptive,0.6701057626951026,0.4348054505993402,0.9404526014475414,0.4011507730099964,3220,2842,2257,585,963,136,66,32.67,0,66,0.0,32.67,1,0.5,116,57.43,19,9.41,18.5,82.595,39.883,44.198,737.08,27.176,502.73,3.019,55.39,9.687,178.95,59.9,62.0,60.2,61.5,62.0,77.8,19.2,43.7,3526.0,3532,150
b1d0a191-06deb55d,Adaptive,0.596783135707817,0.3787505989648484,0.9004563872580257,0.3788750629838695,2441,2157,1576,581,865,120,82,40.59,0,82,0.0,40.59,1,0.5,89,44.06,30,14.85,16.04,71.4,40.45,44.198,642.32,27.555,437.76,3.108,49.16,9.787,155.39,60.3,62.1,60.4,61.3,62.1,72.6,18.8,44.4,3518.0,3524,131
b1d0a191-28f0e779,Adaptive,0.6446206162985861,0.4247676424800625,0.9201139272050184,0.4064773509868034,1615,1497,1098,399,517,105,85,44.74,2,83,1.05,43.68,1,0.53,68,35.79,36,18.95,14.15,65.825,40.155,44.2,565.18,27.325,384.97,3.058,42.7,9.772,137.5,60.6,62.3,60.6,61.6,62.3,76.4,20.0,43.2,3528.0,3535,115
b1d0a191-2ed2269e,Adaptive,0.6755953371089309,0.43678324294991944,0.9301845550378878,0.413419893349794,3126,2898,2221,677,905,137,66,32.51,0,66,0.0,32.51,1,0.49,113,55.67,23,11.33,18.34,82.376,40.649,43.701,743.25,27.711,506.9,3.126,56.92,9.813,179.43,60.9,62.6,61.2,62.2,62.6,75.7,19.0,44.7,3525.0,3532,150
b1d0a191-5490450b,Adaptive,0.6225865582030515,0.42938487534084596,0.9043176533569834,0.388037943855149,1778,1605,1196,409,582,116,88,43.14,0,88,0.0,43.14,1,0.49,80,39.22,35,17.16,15.53,67.041,40.297,43.302,623.95,27.556,426.82,2.982,45.98,9.76,151.15,61.0,62.8,61.3,62.1,62.8,78.6,19.4,44.0,3526.0,3533,126
b1d0a191-65deaeef,Adaptive,0.7331196267467603,0.4871757926815764,0.923560270491952,0.43858369558649674,3276,3213,2569,644,707,145,57,28.22,0,57,0.0,28.22,1,0.5,129,63.86,15,7.43,19.95,88.528,39.956,43.315,795.65,27.259,543.14,2.98,59.07,9.716,193.44,61.5,62.9,61.6,62.8,62.8,80.6,19.2,43.7,3527.0,3533,160
b1d0a191-de8948f6,Adaptive,0.6933280237207886,0.5070145036282679,0.9588600059275268,0.4045966104703685,2478,2146,1769,377,709,125,77,38.12,0,77,0.0,38.12,1,0.5,94,46.53,30,14.85,17.03,74.111,39.75,42.704,675.86,27.131,461.9,2.945,49.61,9.675,164.34,61.4,63.2,61.6,62.7,63.2,75.0,19.7,43.3,3528.0,3534,138
b1d10d08-5b108225,Adaptive,0.5528077677571286,0.38638272119502104,0.9636552267520413,0.31426432798720283,2123,1414,1208,206,915,111,91,45.05,0,91,0.0,45.05,1,0.5,71,35.15,39,19.31,14.93,65.072,40.327,43.801,598.11,27.594,409.7,2.928,43.08,9.806,145.33,61.8,63.2,61.8,62.5,63.2,79.3,19.9,43.6,3528.0,3536,120
b1d10d08-743fd86c,Adaptive,0.2727877216523388,0.18255654008218108,0.9314837099286613,0.17044555158697947,1016,388,289,99,727,76,126,62.38,9,117,4.46,57.92,4,1.98,10,4.95,62,30.69,11.08,46.915,38.089,43.415,417.38,25.119,275.61,3.518,38.24,9.453,103.54,61.3,63.3,61.9,64.8,64.8,72.1,23.1,39.6,3529.0,3534,88
b1d10d08-c35503b8,Adaptive,0.6694384883757067,0.45644808626971745,0.9312272813647933,0.4172333810328558,3127,2924,2187,737,940,145,57,28.22,0,57,0.0,28.22,1,0.5,130,64.36,14,6.93,19.77,88.388,39.954,43.713,783.5,27.257,535.01,2.955,57.6,9.742,190.9,61.8,63.8,62.2,63.2,63.8,80.4,19.3,44.0,3531.0,3539,161
b1d10d08-da110fcb,Adaptive,0.7048668345084266,0.4865534195918698,0.9230411850916158,0.4451441163508153,2250,2269,1668,601,582,122,72,37.11,0,72,0.0,37.11,1,0.52,96,49.48,25,12.89,16.62,76.469,39.879,42.917,659.77,27.19,450.39,2.954,48.47,9.735,160.91,62.0,63.7,62.2,63.2,63.7,75.1,19.1,43.1,3528.0,3535,135
b1d10d08-ec660956,Adaptive,0.6467833782888653,0.4405502330879799,0.9334253042224134,0.39342698491565925,2117,1851,1439,412,678,119,83,41.09,0,83,0.0,41.09,1,0.5,84,41.58,34,16.83,16.11,69.784,40.189,43.814,645.67,27.425,440.86,2.996,47.88,9.768,156.93,62.1,63.8,62.3,63.3,63.8,82.8,19.3,43.6,3533.0,3540,131
b1d22449-117aa773,Adaptive,0.36552634986372196,0.24515821722463124,0.913718060454028,0.22911160397373836,1193,627,465,162,728,97,105,51.98,0,105,0.0,51.98,3,1.49,43,21.29,51,25.25,12.66,55.334,41.056,44.711,515.89,28.117,353.96,3.036,37.62,9.902,124.31,62.2,63.7,62.4,64.9,64.9,81.5,20.0,44.4,3537.0,3542,103
