sequence,system,ap_50,ap_50_95,avg_precision,avg_recall,total_gt,total_preds,total_tp,total_fp,total_fn,infer_count,skip_count,skip_rate_pct,erd_empty_count,predict_count,erd_empty_rate_pct,predict_rate_pct,erd_infer_count,erd_infer_rate_pct,augmented_infer_count,augmented_infer_rate_pct,pure_infer_count,pure_infer_rate_pct,wall_duration_s,avg_frame_time_ms,avg_power_w,max_power_w,energy_j,avg_power_gpu_w,energy_gpu_j,avg_power_cpu_w,energy_cpu_j,avg_power_io_w,energy_io_j,avg_gpu_temp_c,max_gpu_temp_c,avg_cpu_temp_c,max_cpu_temp_c,max_tj_temp_c,avg_gpu_util_pct,avg_cpu_util_pct,avg_emc_util_pct,avg_ram_used_mb,max_ram_used_mb,n_tegrastats_samples
b1c66a42-6f7d68ca,Adaptive,0.5036854957958479,0.30457577570402566,0.8491937978119078,0.34918366681982815,2612,2303,1477,826,1135,97,105,51.98,0,105,0.0,51.98,1,0.5,82,40.59,14,6.93,13.67,61.88,39.264,44.684,535.28,26.484,361.38,3.106,42.08,9.674,131.82,61.8,63.9,62.2,63.2,63.9,77.8,18.5,41.8,3567.0,3587,111
b1c81faa-3df17267,Adaptive,0.20624715171090469,0.130671868213101,0.9118670389220361,0.12944915254237285,472,140,104,36,368,21,161,88.46,124,37,68.13,20.33,4,2.2,7,3.85,10,5.49,10.58,53.902,27.542,43.39,289.88,9.514,102.14,11.023,114.09,7.004,73.66,59.0,62.4,63.9,65.1,65.1,19.4,77.8,14.5,3594.0,3616,91
b1c81faa-c80764c5,Adaptive,0.4221138357340853,0.25578902040449314,0.9280296719139196,0.2486416298525198,866,482,389,93,477,64,138,68.32,1,137,0.5,67.82,1,0.5,18,8.91,45,22.28,8.24,36.498,40.651,44.596,330.36,27.622,224.77,3.173,25.58,9.856,80.01,61.5,63.7,62.1,63.0,63.7,86.8,19.8,42.3,3585.0,3590,66
b1c9c847-3bda4659,Adaptive,0.5307697459813099,0.327256613219976,0.8130012785887706,0.3871946469070826,2937,3068,1788,1280,1149,107,96,47.29,0,96,0.0,47.29,1,0.49,95,46.8,11,5.42,14.45,65.558,40.316,43.686,579.7,27.332,393.32,3.205,45.85,9.779,140.52,62.2,64.1,62.5,63.4,64.1,80.8,18.9,43.4,3587.0,3594,118
b1ca2e5d-84cf9134,Adaptive,0.5013265129058695,0.277650946035601,0.8462259422905796,0.34817090764299047,3944,3515,2212,1303,1732,109,94,46.31,0,94,0.0,46.31,1,0.49,100,49.26,8,3.94,15.02,68.098,39.902,44.186,592.12,27.006,401.06,3.195,47.22,9.701,143.84,62.2,63.9,62.7,63.7,63.9,77.5,18.5,42.8,3592.0,3598,119
b1cac6a7-04e33135,Adaptive,0.7578158157753463,0.558848821244944,0.9727089209096996,0.41718424977432395,1368,1192,1061,131,307,49,57,53.77,0,57,0.0,53.77,1,0.94,35,33.02,13,12.26,6.73,56.773,38.626,43.687,256.7,25.791,171.78,3.257,21.34,9.578,63.58,61.8,63.3,62.2,63.1,63.3,68.0,19.3,37.7,3601.0,3605,55
b1cd1e94-549d0bfe,Adaptive,0.4986076102060265,0.3226544265763595,0.8618064741668885,0.3412522175691821,1763,1504,968,536,795,87,116,57.14,0,116,0.0,57.14,1,0.49,57,28.08,29,14.29,11.51,50.612,40.337,44.185,459.89,27.352,312.23,3.155,35.67,9.83,111.99,62.1,63.9,62.5,63.4,63.9,76.7,19.5,43.1,3614.0,3625,93
b1ceb32e-3f481b43,Adaptive,0.19053153105513426,0.09181955345795162,0.7235311171063488,0.15196309714382003,715,332,176,156,539,41,97,70.29,27,70,19.57,50.72,5,3.62,17,12.32,19,13.77,7.33,48.294,34.283,43.888,252.64,19.541,145.4,6.025,43.11,8.717,64.13,60.9,63.4,62.8,65.3,65.3,60.0,40.1,29.4,3627.0,3631,59
b1ceb32e-51852abe,Adaptive,0.5614794302790388,0.37376409477683353,0.9255602886080974,0.3339323928326972,2164,1623,1295,328,869,85,118,58.13,0,118,0.0,58.13,1,0.49,55,27.09,29,14.29,11.34,49.456,40.248,43.699,456.83,27.348,310.79,3.099,34.87,9.802,111.17,62.2,63.8,62.4,63.2,63.8,76.7,19.2,42.9,3633.0,3643,92
b1cebfb7-284f5117,Adaptive,0.33621001726879174,0.19554895187738258,0.7799839163977804,0.25564133870610534,1956,1422,777,645,1179,81,121,59.9,0,121,0.0,59.9,2,0.99,52,25.74,27,13.37,10.8,47.569,40.276,44.185,430.37,27.251,291.55,3.23,34.23,9.794,104.58,62.2,63.9,62.6,64.3,64.3,77.0,19.4,42.4,3643.0,3648,88
